t,S_a,I_a,S_h,I_h,R_h
2.402402402402402731e+04,4.988893912189462571e+04,7.457666235379034561e+02,3.618709005710055353e+05,4.891701138647512437e+01,6.177397897240341990e+04
2.412412412412412596e+04,4.988893547649369430e+04,7.458066289742515664e+02,3.625889396244636155e+05,4.895113672453418019e+01,6.202154702135548723e+04
2.422422422422422460e+04,4.988893194541417324e+04,7.458453815355218239e+02,3.633035725107838516e+05,4.898503326112901846e+01,6.226848778491678968e+04
2.432432432432432688e+04,4.988892852506406780e+04,7.458829204934414747e+02,3.640148165604803362e+05,4.901870339413327571e+01,6.251480143854370544e+04
2.442442442442442552e+04,4.988892521198171744e+04,7.459192836880079085e+02,3.647226889905352145e+05,4.905214947146805571e+01,6.276048818283376750e+04
2.452452452452452781e+04,4.988892200283022248e+04,7.459545075878389753e+02,3.654272069059772766e+05,4.908537379276910428e+01,6.300554824279515742e+04
2.462462462462462645e+04,4.988891889433025062e+04,7.459886280650088111e+02,3.661283873146838741e+05,4.911837863708183249e+01,6.324998185994178493e+04
2.472472472472472509e+04,4.988891588331980893e+04,7.460216796982119831e+02,3.668262471149453777e+05,4.915116623694520825e+01,6.349378929916594643e+04
2.482482482482482737e+04,4.988891296673128090e+04,7.460536960348813409e+02,3.675208031007780228e+05,4.918373878740917604e+01,6.373697084598175570e+04
2.492492492492492602e+04,4.988891014164718217e+04,7.460847090135567896e+02,3.682120719514984521e+05,4.921609844274085788e+01,6.397952681226947607e+04
2.502502502502502830e+04,4.988890740517831728e+04,7.461147502296441871e+02,3.689000702559961355e+05,4.924824732616755085e+01,6.422145752330648975e+04
2.512512512512512694e+04,4.988890475453789259e+04,7.461438501674160761e+02,3.695848144987245905e+05,4.928018752523665569e+01,6.446276332544412435e+04
2.522522522522522559e+04,4.988890218702505808e+04,7.461720383717868117e+02,3.702663210633820854e+05,4.931192109382183730e+01,6.470344458424435288e+04
2.532532532532532787e+04,4.988889970004831412e+04,7.461993432272885229e+02,3.709446062291561975e+05,4.934345004463731499e+01,6.494350168662484066e+04
2.542542542542542651e+04,4.988889729111467750e+04,7.462257920670522253e+02,3.716196861732322141e+05,4.937477635240774276e+01,6.518293503962798422e+04
2.552552552552552879e+04,4.988889495774789248e+04,7.462514119676367272e+02,3.722915769863126916e+05,4.940590197778801240e+01,6.542174506217827729e+04
2.562562562562562744e+04,4.988889269757105649e+04,7.462762289533618514e+02,3.729602946579649579e+05,4.943682884316353920e+01,6.565993219310010318e+04
2.572572572572572608e+04,4.988889050827715982e+04,7.463002682849312350e+02,3.736258550825378625e+05,4.946755884125510505e+01,6.589749688805035839e+04
2.582582582582582836e+04,4.988888838764734828e+04,7.463235542638643665e+02,3.742882740558101214e+05,4.949809383106141070e+01,6.613443962143476529e+04
2.592592592592592700e+04,4.988888633357959770e+04,7.463461099251109090e+02,3.749475672694772366e+05,4.952843563137971472e+01,6.637076088948381948e+04
2.602602602602602929e+04,4.988888434394777869e+04,7.463679585492957358e+02,3.756037503408113844e+05,4.955858605373966697e+01,6.660646119446016382e+04
2.612612612612612793e+04,4.988888241672333243e+04,7.463891223575012646e+02,3.762568387878605281e+05,4.958854687431086461e+01,6.684154105808144959e+04
2.622622622622622657e+04,4.988888054993714468e+04,7.464096229205741793e+02,3.769068480377888773e+05,4.961831984294703091e+01,6.707600101716446807e+04
2.632632632632632885e+04,4.988887874168693088e+04,7.464294810829711651e+02,3.775537934257928864e+05,4.964790668028275178e+01,6.730984162432032463e+04
2.642642642642642750e+04,4.988887699020301079e+04,7.464487162758443901e+02,3.781976901819772320e+05,4.967730905339527681e+01,6.754306345507926017e+04
2.652652652652652978e+04,4.988887529366319359e+04,7.464673484539445099e+02,3.788385534699528362e+05,4.970652864355045608e+01,6.777566708739280875e+04
2.662662662662662842e+04,4.988887365033940296e+04,7.464853965631340316e+02,3.794763983570447890e+05,4.973556709218877359e+01,6.800765311766072409e+04
2.672672672672672707e+04,4.988887205855497450e+04,7.465028789881704370e+02,3.801112398235364817e+05,4.976442601640997054e+01,6.823902215591010463e+04
2.682682682682682935e+04,4.988887051668232016e+04,7.465198135780836992e+02,3.807430927635866101e+05,4.979310700963301883e+01,6.846977482542162761e+04
2.692692692692692799e+04,4.988886902321021626e+04,7.465362168712301809e+02,3.813719719696846441e+05,4.982161165281517157e+01,6.869991177104349481e+04
2.702702702702703027e+04,4.988886757658937859e+04,7.465521058689901110e+02,3.819978921695292229e+05,4.984994149204547398e+01,6.892943363983872405e+04
2.712712712712712892e+04,4.988886617534675315e+04,7.465674967205139865e+02,3.826208679993699188e+05,4.987809805689234821e+01,6.915834109526449174e+04
2.722722722722722756e+04,4.988886481805340736e+04,7.465824050905048352e+02,3.832409140119673684e+05,4.990608285654607812e+01,6.938663481308132759e+04
2.732732732732732984e+04,4.988886350332237635e+04,7.465968461827050078e+02,3.838580446774718584e+05,4.993389738050372983e+01,6.961431548099977954e+04
2.742742742742742848e+04,4.988886222985464701e+04,7.466108342762996699e+02,3.844722743738201098e+05,4.996154303268684060e+01,6.984138380383474578e+04
2.752752752752753076e+04,4.988886099634465791e+04,7.466243836824714890e+02,3.850836174076976022e+05,4.998902126053607731e+01,7.006784049259874155e+04
2.762762762762762941e+04,4.988885980153143464e+04,7.466375082287065652e+02,3.856920880038142204e+05,5.001633348197623974e+01,7.029368627024555462e+04
2.772772772772772805e+04,4.988885864419722202e+04,7.466502212741557969e+02,3.862977003056097892e+05,5.004348108529147510e+01,7.051892187140775786e+04
2.782782782782783033e+04,4.988885752316011349e+04,7.466625357857390100e+02,3.869004683772668941e+05,5.007046543734020361e+01,7.074354804144750233e+04
2.792792792792792898e+04,4.988885643730151060e+04,7.466744640256844150e+02,3.875004061970254406e+05,5.009728796405794782e+01,7.096756553997857554e+04
2.802802802802803126e+04,4.988885538551866193e+04,7.466860180889862022e+02,3.880975276696505025e+05,5.012395002503330232e+01,7.119097513457870809e+04
2.812812812812812990e+04,4.988885436673210643e+04,7.466972098182452555e+02,3.886918466248688637e+05,5.015045293893803091e+01,7.141377760168803798e+04
2.822822822822822855e+04,4.988885337990229164e+04,7.467080506144877745e+02,3.892833768134624115e+05,5.017679803416024242e+01,7.163597372870852996e+04
2.832832832832833083e+04,4.988885242401991854e+04,7.467185515460403167e+02,3.898721319100772962e+05,5.020298662722174754e+01,7.185756431266290019e+04
2.842842842842842947e+04,4.988885149812878080e+04,7.467287231192126455e+02,3.904581255084753502e+05,5.022901992232729640e+01,7.207855016280214477e+04
2.852852852852853175e+04,4.988885060129938211e+04,7.467385755455889012e+02,3.910413711278490373e+05,5.025489911615518679e+01,7.229893209738997393e+04
2.862862862862863039e+04,4.988884973260597326e+04,7.467481189745193433e+02,3.916218822183611919e+05,5.028062548826607525e+01,7.251871094089522376e+04
2.872872872872872904e+04,4.988884889116284467e+04,7.467573631283580653e+02,3.921996721533787786e+05,5.030620024467454954e+01,7.273788752818763896e+04
2.882882882882883132e+04,4.988884807611035649e+04,7.467663174444245442e+02,3.927747542329957359e+05,5.033162457084281982e+01,7.295646270279184682e+04
2.892892892892892996e+04,4.988884728662660928e+04,7.467749909433091489e+02,3.933471416812423849e+05,5.035689967934346356e+01,7.317443731838437088e+04
2.902902902902903224e+04,4.988884652192485373e+04,7.467833922577286785e+02,3.939168476471116301e+05,5.038202680468554462e+01,7.339181223837022844e+04
2.912912912912913089e+04,4.988884578121486265e+04,7.467915300670674696e+02,3.944838852152281906e+05,5.040700706463049841e+01,7.360858833060713368e+04
